layer,mem
0,26.2400
1,378.4400
2,162.4900
3,96.6800
4,0
5,96.6800
6,96.6700
7,123.0300
8,8.7500
9,96.6700
10,123.0300
11,8.7500
12,96.6700
13,123.0300
14,8.7500
15,70.0000
16,175.4400
17,88.1700
18,52.2100
19,0
20,51.4000
21,48.3100
22,63.8000
23,4.3800
24,48.3100
25,63.8000
26,4.3800
27,48.3100
28,63.8000
29,4.3800
30,48.3100
31,63.8000
32,4.3800
33,48.3100
34,63.8000
35,4.3800
36,48.3100
37,63.8000
38,4.3800
39,48.3100
40,63.8000
41,4.3800
42,35.0000
43,87.7300
44,39.5100
45,23.7200
46,0
47,27.6100
48,27.6000
49,32.0500
50,2.5000
51,23.3000
52,26.8700
53,3.3800
54,18.1400
55,28.3800
56,1.3200
57,20.0000
58,27.4300
59,2.2700
60,18.1400
61,27.7500
62,1.6400
63,18.1400
64,27.7500
65,1.6400
66,18.1400
67,27.7500
68,1.6400
69,13.1200
70,36.4200
71,19.9100
72,6.1680
73,0
74,6.1680
75,6.1670
76,16.2840
77,0.5600
78,6.1670
79,16.2840
80,0.5600
81,6.1670
82,16.2840
83,0.5600
84,5.7200
85,14.2240
86,9.8300
87,1.9365
88,0
89,1.9365
90,1.9355
91,15.7210
92,0.1750
93,1.9355
94,15.7210
95,0.1750
96,1.9355
97,15.7210
98,0.1750
99,1.4000
100,3.5175
101,1.9365
102,0
103,1.9365
104,15.7210
105,1.7605
106,1.2250
107,0
108,1.2250
109,0
110,1.2250
111,2.8000
112,1.2390
113,15.7210
114,1.4000
115,1.5865
116,1.5475
117,0.9800
118,0
119,6.1680
120,5.7200
121,4.7040
122,6.1670
123,0
124,6.1670
125,16.2840
126,5.6070
127,16.2840
128,5.6070
129,16.2840
130,5.7200
131,4.7040
132,4.6270
133,2.8700
134,0
135,18.2100
136,13.1200
137,14.9300
138,18.1400
139,0
140,18.1400
141,27.7500
142,16.5000
143,27.7500
144,16.5000
145,27.7500
146,13.1200
147,14.9300
148,14.1100
149,7.3300
150,0
151,49.8900
152,35.0000
153,41.4500
154,48.3100
155,0
156,48.3100
157,63.8000
158,43.9300
159,63.8000
160,43.9300
161,63.8000
162,35.0000
163,39.5800
164,20.1300
165,13.1200
166,16.7900
167,18.1400
168,0
169,18.1400
170,27.7500
171,16.5000
172,27.7500
173,16.5000
174,27.7500
175,13.1200
176,14.9300
177,7.5840
178,5.7200
179,4.7040
180,6.1670
181,0
182,6.1670
183,16.2840
184,5.6070
185,16.2840
186,5.6070
187,16.2840
188,5.7200
189,4.7040
190,1.9430
191,1.4000
192,1.5865
193,1.9355
194,0
195,1.9355
196,15.7210
197,1.7605
198,15.7210
199,1.7605
200,15.7210
201,1.4000
202,1.5865
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,131.0500
213,10.4900
214,34.3540
215,19.2200
216,53.9900
217,0
218,55.4900
219,3.2800
220,9.7690
221,4.3600
222,13.5000
223,0
224,34.3400
225,0.7460
226,1.6720
227,1.1160
228,3.4290
229,0
230,31.4500
231,0.3500
232,0.3500
233,0.2790
234,0.8650
