layer,mem
Embedding,63.2894140625
layer_0_Layer_Norm_Before,9.9697265625
layer_0_Query,32.2529296875
layer_0_Key,22.2529296875
layer_0_Value,2.2529296875
layer_0_mul,498.0
layer_0_div,520.0
layer_0_softmax,0.0
layer_0_dropout,0.0
layer_0_context,20.0
layer_0_Self_Attention_Output,2.2529296875
layer_0_Residual_Connection_1,0.0
layer_0_Layer_Norm_After,20.005859375
layer_0_Intermediate_Forward,79.01171875
layer_0_Output,9.0029296875
layer_0_mid_position_embedding,1.1455078125
layer_0_add_mid_position_embedding,0.0
layer_1_Layer_Norm_Before,9.9697265625
layer_1_Query,2.2529296875
layer_1_Key,2.2529296875
layer_1_Value,2.2529296875
layer_1_mul,520.0
layer_1_div,520.0
layer_1_softmax,0.0
layer_1_dropout,0.0
layer_1_context,0.0
layer_1_Self_Attention_Output,2.2529296875
layer_1_Residual_Connection_1,0.0
layer_1_Layer_Norm_After,20.005859375
layer_1_Intermediate_Forward,79.01171875
layer_1_Output,9.0029296875
layer_1_mid_position_embedding,1.1455078125
layer_1_add_mid_position_embedding,0.0
layer_2_Layer_Norm_Before,9.9697265625
layer_2_Query,2.2529296875
layer_2_Key,2.2529296875
layer_2_Value,2.2529296875
layer_2_mul,520.0
layer_2_div,520.0
layer_2_softmax,0.0
layer_2_dropout,0.0
layer_2_context,0.0
layer_2_Self_Attention_Output,2.2529296875
layer_2_Residual_Connection_1,0.0
layer_2_Layer_Norm_After,20.005859375
layer_2_Intermediate_Forward,79.01171875
layer_2_Output,9.0029296875
layer_2_mid_position_embedding,1.1455078125
layer_2_add_mid_position_embedding,0.0
layer_3_Layer_Norm_Before,9.9697265625
layer_3_Query,2.2529296875
layer_3_Key,2.2529296875
layer_3_Value,2.2529296875
layer_3_mul,520.0
layer_3_div,520.0
layer_3_softmax,0.0
layer_3_dropout,0.0
layer_3_context,0.0
layer_3_Self_Attention_Output,2.2529296875
layer_3_Residual_Connection_1,0.0
layer_3_Layer_Norm_After,20.005859375
layer_3_Intermediate_Forward,79.01171875
layer_3_Output,9.0029296875
layer_3_mid_position_embedding,1.1455078125
layer_3_add_mid_position_embedding,0.0
layer_4_Layer_Norm_Before,9.9697265625
layer_4_Query,2.2529296875
layer_4_Key,2.2529296875
layer_4_Value,2.2529296875
layer_4_mul,520.0
layer_4_div,520.0
layer_4_softmax,0.0
layer_4_dropout,0.0
layer_4_context,0.0
layer_4_Self_Attention_Output,2.2529296875
layer_4_Residual_Connection_1,0.0
layer_4_Layer_Norm_After,20.005859375
layer_4_Intermediate_Forward,79.01171875
layer_4_Output,9.0029296875
layer_4_mid_position_embedding,1.1455078125
layer_4_add_mid_position_embedding,0.0
layer_5_Layer_Norm_Before,9.9697265625
layer_5_Query,2.2529296875
layer_5_Key,2.2529296875
layer_5_Value,2.2529296875
layer_5_mul,520.0
layer_5_div,520.0
layer_5_softmax,0.0
layer_5_dropout,0.0
layer_5_context,0.0
layer_5_Self_Attention_Output,2.2529296875
layer_5_Residual_Connection_1,0.0
layer_5_Layer_Norm_After,20.005859375
layer_5_Intermediate_Forward,79.01171875
layer_5_Output,9.0029296875
layer_5_mid_position_embedding,1.1455078125
layer_5_add_mid_position_embedding,0.0
layer_6_Layer_Norm_Before,9.9697265625
layer_6_Query,2.2529296875
layer_6_Key,2.2529296875
layer_6_Value,2.2529296875
layer_6_mul,520.0
layer_6_div,520.0
layer_6_softmax,0.0
layer_6_dropout,0.0
layer_6_context,0.0
layer_6_Self_Attention_Output,2.2529296875
layer_6_Residual_Connection_1,0.0
layer_6_Layer_Norm_After,20.005859375
layer_6_Intermediate_Forward,79.01171875
layer_6_Output,9.0029296875
layer_6_mid_position_embedding,1.1455078125
layer_6_add_mid_position_embedding,0.0
layer_7_Layer_Norm_Before,9.9697265625
layer_7_Query,2.2529296875
layer_7_Key,2.2529296875
layer_7_Value,2.2529296875
layer_7_mul,520.0
layer_7_div,520.0
layer_7_softmax,0.0
layer_7_dropout,0.0
layer_7_context,0.0
layer_7_Self_Attention_Output,2.2529296875
layer_7_Residual_Connection_1,0.0
layer_7_Layer_Norm_After,20.005859375
layer_7_Intermediate_Forward,79.01171875
layer_7_Output,9.0029296875
layer_7_mid_position_embedding,1.1455078125
layer_7_add_mid_position_embedding,0.0
layer_8_Layer_Norm_Before,9.9697265625
layer_8_Query,2.2529296875
layer_8_Key,2.2529296875
layer_8_Value,2.2529296875
layer_8_mul,520.0
layer_8_div,520.0
layer_8_softmax,0.0
layer_8_dropout,0.0
layer_8_context,0.0
layer_8_Self_Attention_Output,2.2529296875
layer_8_Residual_Connection_1,0.0
layer_8_Layer_Norm_After,20.005859375
layer_8_Intermediate_Forward,79.01171875
layer_8_Output,9.0029296875
layer_8_mid_position_embedding,1.1455078125
layer_8_add_mid_position_embedding,0.0
layer_9_Layer_Norm_Before,9.9697265625
layer_9_Query,2.2529296875
layer_9_Key,2.2529296875
layer_9_Value,2.2529296875
layer_9_mul,520.0
layer_9_div,520.0
layer_9_softmax,0.0
layer_9_dropout,0.0
layer_9_context,0.0
layer_9_Self_Attention_Output,2.2529296875
layer_9_Residual_Connection_1,0.0
layer_9_Layer_Norm_After,20.005859375
layer_9_Intermediate_Forward,79.01171875
layer_9_Output,9.0029296875
layer_9_mid_position_embedding,1.1455078125
layer_9_add_mid_position_embedding,0.0
layer_10_Layer_Norm_Before,9.9697265625
layer_10_Query,2.2529296875
layer_10_Key,2.2529296875
layer_10_Value,2.2529296875
layer_10_mul,520.0
layer_10_div,520.0
layer_10_softmax,0.0
layer_10_dropout,0.0
layer_10_context,0.0
layer_10_Self_Attention_Output,2.2529296875
layer_10_Residual_Connection_1,0.0
layer_10_Layer_Norm_After,20.005859375
layer_10_Intermediate_Forward,79.01171875
layer_10_Output,9.0029296875
layer_10_mid_position_embedding,1.1455078125
layer_10_add_mid_position_embedding,0.0
layer_11_Layer_Norm_Before,9.9697265625
layer_11_Query,2.2529296875
layer_11_Key,2.2529296875
layer_11_Value,2.2529296875
layer_11_mul,520.0
layer_11_div,520.0
layer_11_softmax,0.0
layer_11_dropout,0.0
layer_11_context,0.0
layer_11_Self_Attention_Output,2.2529296875
layer_11_Residual_Connection_1,0.0
layer_11_Layer_Norm_After,20.005859375
layer_11_Intermediate_Forward,79.01171875
layer_11_Output,9.0029296875
Layer_Norm,0.0
Class_Labels_Classifier,4.7757415771484375
Box_Predictor,4.517593383789063
output,0.0
