layer,mem
d1_c1,554.5
d1_c2,276.53
d1_c3,276.53
d1_c4,276.53
d1_c5,135.89
d1_c6,270.92
d1_c7,271.25
d1_c8,271.25
d2_c1,139.89
d2_c2,72.21
d2_c3,67.81
d2_res,285.72
d2_c4,68.69
d2_c5,135.49
d3_c1,67.72
d3_c2,36.99
d3_c3,36.99
d3_res,585.49
d3_c4,35.95
d3_c5,67.72
d4_c1,33.85
d4_c2,17.29
d4_c3,17.29
d4_res,337.47
d4_c4,17.17
d4_c5,34.63
d5_c1,17.05
d5_c2,8.6825
d5_c3,8.6825
d5_res,174.63
d5_c4,8.6825
d5_c5,17.32
nk_c1,6.5165
nk_c2,62.88
nk_c3,6.5165
nk_mpl1,4.24
nk_mpl2,4.24
nk_mpl3,4.28
nk_c4,6.5165
nk_c5,63.77
nk_c6,6.5165
nk_c7,3.2595
nk_up1,1.41
nk_c8,12.7
nk_c9,13.74
nk_c10,37.89
nk_c11,12.7
nk_c12,37.89
nk_c13,12.7
nk_c14,6.5105
nk_up2,2.82
nk_c15,25.41
nk_c16,25.41
nk_c17,54.93
nk_c18,25.41
nk_c19,56.99
nk_c20,25.41
hd_c1,53.89
hd_c2,22.514
hd_c3,12.7
hd_c4,12.7
hd_c5,37.89
hd_c6,12.7
hd_c7,37.89
hd_c8,12.7
hd_c9,37.89
hd_c10,5.6485
hd_c11,6.5165
hd_c12,6.5165
hd_c13,62.73
hd_c14,6.5165
hd_c15,62.73
hd_c16,6.5165
hd_c17,62.73
hd_c18,1.4425
d1,0.518
d2,1.72
d3,6.7255
nms,0.0125
