layer,size
0,6.8813
1,36.7002
2,18.3501
3,9.175
4,18.3501
5,9.175
6,9.175
7,9.175
8,9.175
9,9.175
10,9.175
11,9.175
12,9.175
13,9.175
14,9.175
15,18.3501
16,18.3501
17,9.175
18,4.5875
19,9.175
20,4.5875
21,4.5875
22,4.5875
23,4.5875
24,4.5875
25,4.5875
26,4.5875
27,4.5875
28,4.5875
29,4.5875
30,4.5875
31,4.5875
32,4.5875
33,4.5875
34,4.5875
35,4.5875
36,4.5875
37,4.5875
38,4.5875
39,4.5875
40,4.5875
41,4.5875
42,9.175
43,9.175
44,3.4406
45,1.7203
46,3.4406
47,1.7203
48,1.7203
49,1.7203
50,1.7203
51,1.7203
52,1.7203
53,1.7203
54,1.7203
55,1.7203
56,1.7203
57,1.7203
58,1.7203
59,1.7203
60,1.7203
61,1.7203
62,1.7203
63,1.7203
64,1.7203
65,1.7203
66,1.7203
67,1.7203
68,1.7203
69,3.4406
70,3.4406
71,1.1469
72,0.5734
73,1.1469
74,0.5734
75,0.5734
76,0.5734
77,0.5734
78,0.5734
79,0.5734
80,0.5734
81,0.5734
82,0.5734
83,0.5734
84,1.1469
85,1.1469
86,0.3584
87,0.1792
88,0.3584
89,0.1792
90,0.1792
91,0.1792
92,0.1792
93,0.1792
94,0.1792
95,0.1792
96,0.1792
97,0.1792
98,0.1792
99,0.3584
100,0.3584
101,0.1792
102,0.3584
103,0.1792
104,0.1792
105,0.1792
106,0.1792
107,0.1792
108,0.1792
109,0.1792
110,0.1792
111,0.7168
112,0.1792
113,0.1792
114,0.3584
115,0.1792
116,0.1434
117,0.5734
118,1.1469
119,0.5734
120,1.1469
121,0.5734
122,0.5734
123,0.5734
124,0.5734
125,0.5734
126,0.5734
127,0.5734
128,0.5734
129,0.5734
130,1.1469
131,0.5734
132,0.4301
133,1.7203
134,3.4406
135,1.7203
136,3.4406
137,1.7203
138,1.7203
139,1.7203
140,1.7203
141,1.7203
142,1.7203
143,1.7203
144,1.7203
145,1.7203
146,3.4406
147,1.7203
148,1.1469
149,4.5875
150,9.175
151,4.5875
152,9.175
153,4.5875
154,4.5875
155,4.5875
156,4.5875
157,4.5875
158,4.5875
159,4.5875
160,4.5875
161,4.5875
162,9.175
163,4.5875
164,1.7203
165,3.4406
166,1.7203
167,1.7203
168,1.7203
169,1.7203
170,1.7203
171,1.7203
172,1.7203
173,1.7203
174,1.7203
175,3.4406
176,1.7203
177,0.5734
178,1.1469
179,0.5734
180,0.5734
181,0.5734
182,0.5734
183,0.5734
184,0.5734
185,0.5734
186,0.5734
187,0.5734
188,1.1469
189,0.5734
190,0.1792
191,0.3584
192,0.1792
193,0.1792
194,0.1792
195,0.1792
196,0.1792
197,0.1792
198,0.1792
199,0.1792
200,0.1792
201,0.3584
202,0.1792
203,0.0005
204,0.0008
205,0.001
206,0.0013
207,0.0005
208,0.0005
209,0.0005
210,0.0005
211,4.5875
212,9.175
213,9.175
214,9.1392
215,9.1392
216,9.1392
217,1.7203
218,3.4406
219,3.4406
220,2.2848
221,2.2848
222,2.2848
223,0.5734
224,1.1469
225,1.1469
226,0.5712
227,0.5712
228,0.5712
229,0.1792
230,0.3584
231,0.3584
232,0.1428
233,0.1428
234,0.1428
