layer,size
input,9.76
Embedding,9.9638671875
layer_0_Layer_Norm_Before,9.9638671875
layer_0_Query,9.9638671875
layer_0_Key,9.9638671875
layer_0_Value,9.9638671875
layer_0_mul,529.4861297607422
layer_0_div,529.4861297607422
layer_0_softmax,529.4861297607422
layer_0_dropout,529.4861297607422
layer_0_context,9.9638671875
layer_0_Self_Attention_Output,9.9638671875
layer_0_Residual_Connection_1,9.9638671875
layer_0_Layer_Norm_After,9.9638671875
layer_0_Intermediate_Forward,39.85546875
layer_0_Output,9.9638671875
layer_0_mid_position_embedding,9.9638671875
layer_0_add_mid_position_embedding,9.9638671875
layer_1_Layer_Norm_Before,9.9638671875
layer_1_Query,9.9638671875
layer_1_Key,9.9638671875
layer_1_Value,9.9638671875
layer_1_mul,529.4861297607422
layer_1_div,529.4861297607422
layer_1_softmax,529.4861297607422
layer_1_dropout,529.4861297607422
layer_1_context,9.9638671875
layer_1_Self_Attention_Output,9.9638671875
layer_1_Residual_Connection_1,9.9638671875
layer_1_Layer_Norm_After,9.9638671875
layer_1_Intermediate_Forward,39.85546875
layer_1_Output,9.9638671875
layer_1_mid_position_embedding,9.9638671875
layer_1_add_mid_position_embedding,9.9638671875
layer_2_Layer_Norm_Before,9.9638671875
layer_2_Query,9.9638671875
layer_2_Key,9.9638671875
layer_2_Value,9.9638671875
layer_2_mul,529.4861297607422
layer_2_div,529.4861297607422
layer_2_softmax,529.4861297607422
layer_2_dropout,529.4861297607422
layer_2_context,9.9638671875
layer_2_Self_Attention_Output,9.9638671875
layer_2_Residual_Connection_1,9.9638671875
layer_2_Layer_Norm_After,9.9638671875
layer_2_Intermediate_Forward,39.85546875
layer_2_Output,9.9638671875
layer_2_mid_position_embedding,9.9638671875
layer_2_add_mid_position_embedding,9.9638671875
layer_3_Layer_Norm_Before,9.9638671875
layer_3_Query,9.9638671875
layer_3_Key,9.9638671875
layer_3_Value,9.9638671875
layer_3_mul,529.4861297607422
layer_3_div,529.4861297607422
layer_3_softmax,529.4861297607422
layer_3_dropout,529.4861297607422
layer_3_context,9.9638671875
layer_3_Self_Attention_Output,9.9638671875
layer_3_Residual_Connection_1,9.9638671875
layer_3_Layer_Norm_After,9.9638671875
layer_3_Intermediate_Forward,39.85546875
layer_3_Output,9.9638671875
layer_3_mid_position_embedding,9.9638671875
layer_3_add_mid_position_embedding,9.9638671875
layer_4_Layer_Norm_Before,9.9638671875
layer_4_Query,9.9638671875
layer_4_Key,9.9638671875
layer_4_Value,9.9638671875
layer_4_mul,529.4861297607422
layer_4_div,529.4861297607422
layer_4_softmax,529.4861297607422
layer_4_dropout,529.4861297607422
layer_4_context,9.9638671875
layer_4_Self_Attention_Output,9.9638671875
layer_4_Residual_Connection_1,9.9638671875
layer_4_Layer_Norm_After,9.9638671875
layer_4_Intermediate_Forward,39.85546875
layer_4_Output,9.9638671875
layer_4_mid_position_embedding,9.9638671875
layer_4_add_mid_position_embedding,9.9638671875
layer_5_Layer_Norm_Before,9.9638671875
layer_5_Query,9.9638671875
layer_5_Key,9.9638671875
layer_5_Value,9.9638671875
layer_5_mul,529.4861297607422
layer_5_div,529.4861297607422
layer_5_softmax,529.4861297607422
layer_5_dropout,529.4861297607422
layer_5_context,9.9638671875
layer_5_Self_Attention_Output,9.9638671875
layer_5_Residual_Connection_1,9.9638671875
layer_5_Layer_Norm_After,9.9638671875
layer_5_Intermediate_Forward,39.85546875
layer_5_Output,9.9638671875
layer_5_mid_position_embedding,9.9638671875
layer_5_add_mid_position_embedding,9.9638671875
layer_6_Layer_Norm_Before,9.9638671875
layer_6_Query,9.9638671875
layer_6_Key,9.9638671875
layer_6_Value,9.9638671875
layer_6_mul,529.4861297607422
layer_6_div,529.4861297607422
layer_6_softmax,529.4861297607422
layer_6_dropout,529.4861297607422
layer_6_context,9.9638671875
layer_6_Self_Attention_Output,9.9638671875
layer_6_Residual_Connection_1,9.9638671875
layer_6_Layer_Norm_After,9.9638671875
layer_6_Intermediate_Forward,39.85546875
layer_6_Output,9.9638671875
layer_6_mid_position_embedding,9.9638671875
