layer,size
input,4.2304
d1_c1,45.1248
d1_c2,22.5624
d1_c3,22.5624
d1_c4,22.5624
d1_c5,11.2812
d1_c6,22.5624
d1_c7,22.5624
d1_c8,22.5624
d2_c1,11.2812
d2_c2,5.6408
d2_c3,5.6408
d2_res,5.6408
d2_c4,5.6408
d2_c5,11.2812
d3_c1,5.6408
d3_c2,2.8204
d3_c3,2.8204
d3_res,2.8204
d3_c4,2.8204
d3_c5,5.6408
d4_c1,2.8204
d4_c2,1.4100
d4_c3,1.4100
d4_res,1.4100
d4_c4,1.4100
d4_c5,2.8204
d5_c1,1.4100
d5_c2,0.7052
d5_c3,0.7052
d5_res,0.7052
d5_c4,0.7052
d5_c5,1.4100
nk_c1,0.7052
nk_c2,1.4100
nk_c3,0.7052
nk_mp1,0.7052
nk_mp2,0.7052
nk_mp3,0.7052
nk_c4,0.7052
nk_c5,1.4100
nk_c6,0.7052
nk_c7,0.3524
nk_up1,1.4100
nk_c8,1.4100
nk_c9,1.4100
nk_c10,2.8204
nk_c11,1.4100
nk_c12,2.8204
nk_c13,1.4100
nk_c14,0.7052
nk_up2,2.8204
nk_c15,2.8204
nk_c16,2.8204
nk_c17,5.6408
nk_c18,2.8204
nk_c19,5.6408
nk_c20,2.8204
hd_c1,5.6408
hd_c2,5.6184
hd_c3,1.4100
hd_c4,1.4100
hd_c5,2.8204
hd_c6,1.4100
hd_c7,2.8204
hd_c8,1.4100
hd_c9,2.8204
hd_c10,1.4048
hd_c11,0.7052
hd_c12,0.7052
hd_c13,1.4100
hd_c14,0.7052
hd_c15,1.4100
hd_c16,0.7052
hd_c17,1.4100
hd_c18,0.3512
