layer,size
input,4.6875
stem,31.25
dark2,15.625
dark3,7.8125
dark4,3.9062
dark5,1.9531
latr_c0,0.9766
up_P5,3.9062
C3_p4,3.9062
reds_c1,1.9531
up_P4,7.8125
C3_p3,7.8125
bu_c2,1.9531
C3_n3,3.9062
bu_c1,0.9766
C3_n4,1.9531
stems_0,7.8125
cls_cs_0,7.8125
cls_p_0,1.9531
reg_cs_0,7.8125
reg_p_0,0.0977
obj_p_0,0.0244
p_out_0,2.0752
stems_1,1.9531
cls_cs_1,1.9531
cls_p_1,0.4883
reg_cs_1,1.9531
reg_p_1,0.0244
obj_p_1,0.0061
p_out_1,0.5188
stems_2,0.4883
cls_cs_2,0.4883
cls_p_2,0.1221
reg_cs_2,0.4883
reg_p_2,0.0061
obj_p_2,0.0015
p_out_2,0.1297
