layer,nano_0,nano_1,agx_0,agx_1,agx_2
0,0.006288,0.009321,0.000615,0.001936,0.000749
1,0.058037,0.082545,0.00584,0.016584,0.006879
2,0.061731,0.090662,0.005226,0.013996,0.006153
3,0.012161,0.016964,0.001132,0.003164,0.001268
4,0.001937,0.001616,5.1E-05,0.000109,0.000111
5,0.012161,0.016957,0.001135,0.003148,0.001265
6,0.008769,0.012252,0.000977,0.002515,0.001095
7,0.028194,0.036596,0.002413,0.006275,0.00283
8,0.002408,0.002061,0.000367,0.000613,0.000454
9,0.008758,0.012234,0.000971,0.002505,0.001101
10,0.027981,0.036339,0.002331,0.006253,0.002816
11,0.001753,0.001622,0.000368,0.000612,0.000453
12,0.00872,0.012231,0.000955,0.002516,0.001101
13,0.028088,0.036317,0.002357,0.006272,0.002822
14,0.001714,0.002777,0.000368,0.000611,0.000455
15,0.0074,0.010974,0.000746,0.002307,0.000907
16,0.022222,0.031691,0.002056,0.005474,0.002372
17,0.06806,0.095755,0.003762,0.010261,0.004457
18,0.00903,0.012874,0.00067,0.00175,0.000908
19,0.001417,0.000813,6.6E-05,9.7E-05,9.5E-05
20,0.009077,0.012843,0.000671,0.001757,0.000859
21,0.00555,0.007962,0.00055,0.001435,0.000874
22,0.021104,0.028862,0.001671,0.004826,0.001985
23,0.001585,0.001604,0.000187,0.000309,0.000232
24,0.005543,0.007978,0.000642,0.001435,0.000866
25,0.021751,0.028906,0.001666,0.004755,0.001988
26,0.001562,0.001592,0.000186,0.000432,0.000232
27,0.005526,0.007963,0.000555,0.001427,0.000912
28,0.021286,0.028967,0.001668,0.004832,0.00199
29,0.001577,0.002678,0.000187,0.000311,0.000232
30,0.005533,0.007957,0.000559,0.001428,0.000911
31,0.021762,0.028914,0.001664,0.004836,0.001994
32,0.001303,0.002001,0.000188,0.000447,0.000233
33,0.00554,0.007978,0.000555,0.001437,0.000852
34,0.021376,0.028796,0.001665,0.00484,0.001992
35,0.002696,0.00192,0.000187,0.000309,0.000234
36,0.005516,0.007962,0.000559,0.001426,0.00092
37,0.021396,0.028856,0.001667,0.00476,0.001986
38,0.002395,0.002579,0.000189,0.00031,0.00023
39,0.00553,0.007953,0.000553,0.001435,0.000966
40,0.02173,0.028938,0.001664,0.004811,0.001988
41,0.001329,0.002073,0.000186,0.000312,0.000232
42,0.00371,0.005494,0.000385,0.001163,0.000462
43,0.018141,0.025657,0.001279,0.003421,0.001479
44,0.045372,0.066324,0.003208,0.008694,0.003886
45,0.004615,0.006671,0.000504,0.001032,0.000871
46,0.000778,0.001561,6.2E-05,0.000106,9.5E-05
47,0.00459,0.006642,0.000572,0.001042,0.000872
48,0.003201,0.004048,0.000478,0.000892,0.000953
49,0.011242,0.015676,0.001097,0.002708,0.00132
50,0.001533,0.001553,0.0001,0.000209,0.000226
51,0.002833,0.00406,0.000509,0.000879,0.000902
52,0.01137,0.015747,0.001091,0.002703,0.001309
53,0.002002,0.001883,8.6E-05,0.000228,0.00021
54,0.002826,0.004028,0.000433,0.00104,0.000847
55,0.011209,0.015751,0.001088,0.002702,0.001319
56,0.001058,0.00145,8.3E-05,0.00024,0.000188
57,0.00284,0.004043,0.000425,0.000924,0.000872
58,0.011377,0.015741,0.001097,0.002711,0.001319
59,0.001053,0.001454,7.4E-05,0.000258,0.000191
60,0.002841,0.004045,0.000462,0.000902,0.000859
61,0.011235,0.015611,0.001093,0.002711,0.001309
62,0.001033,0.001523,7.4E-05,0.000209,0.000199
63,0.002827,0.004043,0.000439,0.000898,0.000832
64,0.011393,0.015848,0.001103,0.002701,0.001314
65,0.001033,0.001265,7.3E-05,0.000237,0.000197
66,0.002839,0.004042,0.000409,0.000913,0.000802
67,0.011188,0.015732,0.001096,0.002708,0.001319
68,0.000941,0.001191,7.3E-05,0.000208,0.000197
69,0.0014,0.002068,0.000164,0.00047,0.000193
70,0.008518,0.012501,0.000613,0.00164,0.000925
71,0.02398,0.034234,0.001704,0.004502,0.002039
72,0.003599,0.004562,0.000424,0.000942,0.000817
73,0.001882,0.000694,4.5E-05,9.7E-05,0.000126
74,0.003168,0.004565,0.000405,0.00092,0.000811
75,0.002685,0.002836,0.000382,0.000917,0.000856
76,0.007119,0.01019,0.000683,0.001986,0.001082
77,0.000973,0.001392,8.8E-05,0.000283,0.000262
78,0.00244,0.002566,0.000433,0.000819,0.00075
79,0.007066,0.010105,0.000689,0.001977,0.001105
80,0.002869,0.001127,8.7E-05,0.00021,0.0002
