layer,agx_1
Embedding,0.0583449592590332
layer_0_Layer_Norm_Before,0.0012706559896469
layer_0_Query,0.0174765129089355
layer_0_Key,0.0172313270568847
layer_0_Value,0.0172220478057861
layer_0_mul,0.0885497283935546
layer_0_div,0.0305673599243164
layer_0_softmax,0.0729390106201171
layer_0_dropout,0.0002622080147266
layer_0_context,0.0718917465209961
layer_0_Self_Attention_Output,0.0175464000701904
layer_0_Residual_Connection_1,0.0009762240052223
layer_0_Layer_Norm_After,0.0013572800159454
layer_0_Intermediate_Forward,0.0711145935058593
layer_0_Output,0.0656635818481445
layer_0_mid_position_embedding,0.0293304958343505
layer_0_add_mid_position_embedding,0.0009008640050888
layer_1_Layer_Norm_Before,0.0012863039970397
layer_1_Query,0.0174379196166992
layer_1_Key,0.01728169631958
layer_1_Value,0.0174435844421386
layer_1_mul,0.0886691513061523
layer_1_div,0.0306256313323974
layer_1_softmax,0.0736061782836914
layer_1_dropout,0.00018806399405
layer_1_context,0.0715413436889648
layer_1_Self_Attention_Output,0.0174567031860351
layer_1_Residual_Connection_1,0.0009709759950637
layer_1_Layer_Norm_After,0.0013173439502716
layer_1_Intermediate_Forward,0.0710699234008789
layer_1_Output,0.0663548126220703
layer_1_mid_position_embedding,0.0292732162475585
layer_1_add_mid_position_embedding,0.0009574720263481
layer_2_Layer_Norm_Before,0.001285087943077
layer_2_Query,0.0174427833557128
layer_2_Key,0.0171657276153564
layer_2_Value,0.0173848648071289
layer_2_mul,0.0887181091308593
layer_2_div,0.030614688873291
layer_2_softmax,0.0784569625854492
layer_2_dropout,0.0002414080053567
layer_2_context,0.0715481262207031
layer_2_Self_Attention_Output,0.0177699832916259
layer_2_Residual_Connection_1,0.0011152319908142
layer_2_Layer_Norm_After,0.0013799359798431
layer_2_Intermediate_Forward,0.0712279663085937
layer_2_Output,0.0664855651855468
layer_2_mid_position_embedding,0.0293497924804687
layer_2_add_mid_position_embedding,0.0008980799913406
layer_3_Layer_Norm_Before,0.0013761279582977
layer_3_Query,0.0174609279632568
layer_3_Key,0.0173723526000976
layer_3_Value,0.0173704643249511
layer_3_mul,0.0886422424316406
layer_3_div,0.0306906242370605
layer_3_softmax,0.0732630081176757
layer_3_dropout,0.0002318720072507
layer_3_context,0.0715023651123046
layer_3_Self_Attention_Output,0.0173229122161865
layer_3_Residual_Connection_1,0.0009762560129165
layer_3_Layer_Norm_After,0.0013334399461746
layer_3_Intermediate_Forward,0.0709845428466796
layer_3_Output,0.066300064086914
layer_3_mid_position_embedding,0.0292816314697265
layer_3_add_mid_position_embedding,0.0009625279903411
layer_4_Layer_Norm_Before,0.0012958079576492
layer_4_Query,0.0173817920684814
layer_4_Key,0.0171687030792236
layer_4_Value,0.017212287902832
layer_4_mul,0.0886120300292968
layer_4_div,0.0306422729492187
layer_4_softmax,0.0727715530395507
layer_4_dropout,0.0001792320013046
layer_4_context,0.0715324172973632
layer_4_Self_Attention_Output,0.0175042552947998
layer_4_Residual_Connection_1,0.001180927991867
layer_4_Layer_Norm_After,0.0013599679470062
layer_4_Intermediate_Forward,0.071231201171875
layer_4_Output,0.0671391067504882
layer_4_mid_position_embedding,0.029703104019165
layer_4_add_mid_position_embedding,0.0009407680034637
