layer,nano_0,nano_1,agx_0,agx_1,agx_2
d1_c1,0.0392,0.0501,0.0075,0.0180,0.0108
d1_c2,0.0379,0.0490,0.0062,0.0209,0.0105
d1_c3,0.0221,0.0297,0.0043,0.0106,0.0063
d1_c4,0.0214,0.0275,0.0042,0.0108,0.0062
d1_c5,0.0121,0.0163,0.0025,0.0059,0.0035
d1_c6,0.0303,0.0422,0.0052,0.0156,0.0083
d1_c7,0.0241,0.0280,0.0042,0.0107,0.0062
d1_c8,0.0258,0.0359,0.0047,0.0136,0.0075
d2_c1,0.0260,0.0359,0.0055,0.0184,0.0088
d2_c2,0.0078,0.0095,0.0020,0.0046,0.0027
d2_c3,0.0078,0.0096,0.0019,0.0044,0.0025
d2_res,0.0339,0.0427,0.0067,0.0189,0.0102
d2_c4,0.0062,0.0081,0.0015,0.0036,0.0022
d2_c5,0.0143,0.0190,0.0031,0.0081,0.0044
d3_c1,0.0227,0.0334,0.0039,0.0164,0.0074
d3_c2,0.0060,0.0071,0.0011,0.0032,0.0019
d3_c3,0.0055,0.0075,0.0011,0.0032,0.0018
d3_res,0.0940,0.1274,0.0158,0.0550,0.0274
d3_c4,0.0049,0.0069,0.0012,0.0025,0.0015
d3_c5,0.0094,0.0131,0.0017,0.0056,0.0029
d4_c1,0.0366,0.0533,0.0042,0.0173,0.0079
d4_c2,0.0055,0.0079,0.0012,0.0034,0.0019
d4_c3,0.0050,0.0067,0.0011,0.0033,0.0018
d4_res,0.0872,0.1214,0.0155,0.0582,0.0275
d4_c4,0.0044,0.0075,0.0007,0.0025,0.0015
d4_c5,0.0077,0.0109,0.0016,0.0053,0.0027
d5_c1,0.0452,0.0666,0.0043,0.0188,0.0079
d5_c2,0.0060,0.0092,0.0010,0.0032,0.0017
d5_c3,0.0058,0.0084,0.0009,0.0030,0.0016
d5_res,0.0620,0.0898,0.0108,0.0406,0.0180
d5_c4,0.0046,0.0067,0.0007,0.0024,0.0013
d5_c5,0.0076,0.0108,0.0014,0.0052,0.0025
nk_c1,0.0056,0.0082,0.0009,0.0029,0.0016
nk_c2,0.0252,0.0358,0.0045,0.0171,0.0073
nk_c3,0.0054,0.0086,0.0009,0.0028,0.0016
nk_mpl1,0.0019,0.0028,0.0003,0.0007,0.0005
nk_mpl2,0.0037,0.0053,0.0003,0.0013,0.0006
nk_mpl3,0.0061,0.0088,0.0005,0.0021,0.0010
nk_c4,0.0101,0.0155,0.0013,0.0047,0.0024
nk_c5,0.0260,0.0365,0.0044,0.0169,0.0073
nk_c6,0.0059,0.0088,0.0009,0.0030,0.0015
nk_c7,0.0030,0.0045,0.0006,0.0012,0.0010
nk_up1,0.0008,0.0011,0.0002,0.0005,0.0003
nk_c8,0.0043,0.0061,0.0010,0.0029,0.0017
nk_c9,0.0042,0.0063,0.0011,0.0030,0.0017
nk_c10,0.0153,0.0221,0.0028,0.0104,0.0045
nk_c11,0.0044,0.0064,0.0010,0.0033,0.0016
nk_c12,0.0159,0.0222,0.0027,0.0104,0.0045
nk_c13,0.0160,0.0119,0.0010,0.0029,0.0016
nk_c14,0.0031,0.0025,0.0005,0.0014,0.0009
nk_up2,0.0011,0.0013,0.0002,0.0006,0.0003
nk_c15,0.0041,0.0052,0.0009,0.0028,0.0016
nk_c16,0.0047,0.0066,0.0009,0.0028,0.0016
nk_c17,0.0146,0.0200,0.0025,0.0092,0.0040
nk_c18,0.0047,0.0059,0.0008,0.0027,0.0015
nk_c19,0.0149,0.0204,0.0026,0.0090,0.0040
nk_c20,0.0046,0.0062,0.0008,0.0026,0.0014
hd_c1,0.0148,0.0206,0.0026,0.0092,0.0041
hd_c2,0.0067,0.0099,0.0012,0.0045,0.0021
hd_c3,0.0100,0.0146,0.0014,0.0051,0.0024
hd_c4,0.0050,0.0066,0.0012,0.0032,0.0019
hd_c5,0.0157,0.0220,0.0028,0.0104,0.0045
hd_c6,0.0043,0.0064,0.0009,0.0029,0.0017
hd_c7,0.0159,0.0226,0.0027,0.0104,0.0045
hd_c8,0.0046,0.0065,0.0010,0.0030,0.0015
hd_c9,0.0160,0.0223,0.0027,0.0105,0.0045
hd_c10,0.0052,0.0061,0.0011,0.0034,0.0018
hd_c11,0.0118,0.0165,0.0014,0.0054,0.0026
hd_c12,0.0063,0.0089,0.0009,0.0031,0.0017
hd_c13,0.0252,0.0360,0.0044,0.0170,0.0072
hd_c14,0.0058,0.0092,0.0009,0.0028,0.0017
hd_c15,0.0255,0.0362,0.0044,0.0169,0.0072
hd_c16,0.0059,0.0092,0.0009,0.0029,0.0015
hd_c17,0.0258,0.0364,0.0043,0.0169,0.0074
hd_c18,0.0032,0.0052,0.0007,0.0021,0.0015
