layer,nano_0,nano_1,agx_0,agx_1,agx_2
stem,0.0327,0.0437,0.048,0.0293,0.0547
dark2,0.1757,0.2332,0.2689,0.1053,0.0628
dark3,0.2521,0.3398,0.397,0.1563,0.0703
dark4,0.2525,0.3564,0.4246,0.1769,0.0749
dark5,0.2419,0.3485,0.3105,0.1329,0.0553
latr_c0,0.0075,0.0104,0.0109,0.0056,0.0028
up_P5,0.0013,0.0018,0.0022,0.0011,0.0008
C3_p4,0.0852,0.1191,0.1535,0.0637,0.0272
reds_c1,0.0058,0.0081,0.0114,0.0052,0.0028
up_P4,0.0021,0.003,0.0025,0.0013,0.0009
C3_p3,0.0914,0.1239,0.1497,0.0605,0.027
bu_c2,0.0307,0.0446,0.0446,0.0199,0.0085
C3_n3,0.0771,0.1073,0.1363,0.0569,0.0248
bu_c1,0.037,0.0546,0.0415,0.0189,0.0081
C3_n4,0.1172,0.1666,0.1782,0.0757,0.0321
stems_0,0.0112,0.0152,0.0194,0.0084,0.0042
cls_cs_0,0.0743,0.1035,0.1192,0.0509,0.0216
cls_p_0,0.0039,0.0054,0.0077,0.004,0.0021
reg_cs_0,0.0744,0.1036,0.1194,0.0509,0.0216
reg_p_0,0.0019,0.0029,0.0036,0.002,0.0013
obj_p_0,0.0018,0.0026,0.0036,0.0021,0.0014
p_out_0,0.0008,0.0012,0.0018,0.0009,0.0007
stems_1,0.0059,0.0082,0.0116,0.0052,0.003
cls_cs_1,0.0229,0.0325,0.0386,0.0171,0.0078
cls_p_1,0.0017,0.0023,0.0033,0.0018,0.0012
reg_cs_1,0.0233,0.0326,0.0385,0.0171,0.0078
reg_p_1,0.001,0.0013,0.0022,0.0014,0.0011
obj_p_1,0.0009,0.0012,0.002,0.0015,0.001
p_out_1,0.0005,0.0006,0.0013,0.0008,0.0007
stems_2,0.004,0.0061,0.0066,0.0037,0.0021
cls_cs_2,0.0101,0.0143,0.018,0.0081,0.004
cls_p_2,0.0009,0.0012,0.0019,0.0015,0.0009
reg_cs_2,0.0101,0.0145,0.018,0.008,0.0042
reg_p_2,0.0008,0.001,0.0017,0.0013,0.0009
obj_p_2,0.0007,0.001,0.0016,0.0011,0.0009
p_out_2,0.0004,0.0005,0.0012,0.0007,0.0007
