layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0.0,0.0,0.0,4.6875,0
embeddings,337.0362854003906,0.0,4.9833984375,4.9833984375,0
encoder_interpolation,84.08338928222656,0.0,54.8173828125,54.8173828125,0
encoder_0,3.3881919384002686,0.0,4.9833984375,4.9833984375,0
encoder_1,3.5684800148010254,0.0,4.9833984375,4.9833984375,0
encoder_2,3.5815999507904053,0.0,4.9833984375,4.9833984375,0
encoder_3,3.6056320667266846,0.0,4.9833984375,4.9833984375,0
encoder_4,3.5630080699920654,0.0,4.9833984375,4.9833984375,0
encoder_5,3.5799999237060547,0.0,4.9833984375,4.9833984375,0
encoder_6,3.5691840648651123,0.0,4.9833984375,4.9833984375,0
encoder_7,3.613055944442749,0.0,4.9833984375,4.9833984375,0
encoder_8,3.595360040664673,0.0,4.9833984375,4.9833984375,0
encoder_9,3.592992067337036,0.0,4.9833984375,4.9833984375,0
encoder_10,3.530208110809326,0.0,4.9833984375,4.9833984375,0
encoder_11,3.532032012939453,0.0,4.9833984375,4.9833984375,0
layer_norm,0.5625280141830444,0.0,4.9833984375,4.9833984375,0
pooler,0.6316480040550232,0.0,0.0029296875,0.0029296875,0
output,0.0,0.0,0.0,0.0,0
