layername,device
input,0
Embedding,0
Interpolation,1
layer_0,0
layer_0_add_mid_position_embedding,1
layer_1,1
layer_1_add_mid_position_embedding,1
layer_2,1
layer_2_add_mid_position_embedding,1
layer_3,1
layer_3_add_mid_position_embedding,1
layer_4,2
layer_4_add_mid_position_embedding,2
layer_5,2
layer_5_add_mid_position_embedding,2
layer_6,2
layer_6_add_mid_position_embedding,2
layer_7,3
layer_7_add_mid_position_embedding,3
layer_8,3
layer_8_add_mid_position_embedding,3
layer_9,3
layer_9_add_mid_position_embedding,3
layer_10,4
layer_10_add_mid_position_embedding,4
layer_11,4
Layer_Norm,4
Class_Labels_Classifier,4
Box_Predictor,4
output,4
