layername,priority
input,0
Embedding,1000.0
Interpolation,999.755859375
layer_0,1000.0
layer_0_add_mid_position_embedding,1000.0
layer_1,1000.0
layer_1_add_mid_position_embedding,1000.0
layer_2,1000.0
layer_2_add_mid_position_embedding,1000.0
layer_3,1000.0
layer_3_add_mid_position_embedding,1000.0
layer_4,1000.0
layer_4_add_mid_position_embedding,1000.0
layer_5,1000.0
layer_5_add_mid_position_embedding,1000.0
layer_6,1000.0
layer_6_add_mid_position_embedding,1000.0
layer_7,1000.0
layer_7_add_mid_position_embedding,1000.0
layer_8,1000.0
layer_8_add_mid_position_embedding,1000.0
layer_9,1000.0
layer_9_add_mid_position_embedding,1000.0
layer_10,1000.0
layer_10_add_mid_position_embedding,1000.0
layer_11,1000.0
Layer_Norm,1000.0
Class_Labels_Classifier,1000.0
Box_Predictor,1000.0
output,1000
