layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.058243072509765625,0,48.14,9.9638671875,0
layer_0,0.480996826171875,0,1782,9.9638671875,0
layer_0_mid_position_embedding, 0.029363199234008788,0,0,9.9638671875,0
layer_0_add_mid_position_embedding, 0.000898688018321991,0,1782,9.9638671875,0
layer_1,0.4799508056640625,0,1120,9.9638671875,0
layer_1_mid_position_embedding, 0.02925430488586426,0,0,9.9638671875,0
layer_1_add_mid_position_embedding, 0.0009653120040893554,0,1120,9.9638671875,0
layer_2,0.4855433654785156,0,1130,9.9638671875,0
layer_2_mid_position_embedding, 0.029400352478027345,0,0,9.9638671875,0
layer_2_add_mid_position_embedding, 0.0009039360284805298,0,1130,9.9638671875,0
layer_3,0.47851077270507814,0,1140,9.9638671875,0
layer_3_mid_position_embedding, 0.029331296920776368,0,0,9.9638671875,0
layer_3_add_mid_position_embedding, 0.0009661440253257752,0,1140,9.9638671875,0
layer_4,0.4804454650878906,0,1140,9.9638671875,0
layer_4_mid_position_embedding, 0.029427648544311524,0,0,9.9638671875,0
layer_4_add_mid_position_embedding, 0.0009086400270462037,0,1140,9.9638671875,0
layer_5,0.47848956298828127,0,1130,9.9638671875,0
layer_5_mid_position_embedding, 0.029829183578491212,0,0,9.9638671875,0
layer_5_add_mid_position_embedding, 0.0009669759869575501,0,1130,9.9638671875,0
layer_6,0.4790792236328125,0,1190,9.9638671875,0
layer_6_mid_position_embedding, 0.029618816375732424,0,0,9.9638671875,0
layer_6_add_mid_position_embedding, 0.0009338240027427674,0,1190,9.9638671875,0
layer_7,0.47934796142578123,0,1130,9.9638671875,0
layer_7_mid_position_embedding, 0.029394399642944335,0,0,9.9638671875,0
layer_7_add_mid_position_embedding, 0.00096943998336792,0,1130,9.9638671875,0
layer_8,0.4790807800292969,0,1180,9.9638671875,0
layer_8_mid_position_embedding, 0.029624895095825197,0,0,9.9638671875,0
layer_8_add_mid_position_embedding, 0.0009909759759902954,0,1180,9.9638671875,0
layer_9,0.4794180603027344,0,1110,9.9638671875,0
layer_9_mid_position_embedding, 0.02920275115966797,0,0,9.9638671875,0
layer_9_add_mid_position_embedding, 0.0009684159755706787,0,1110,9.9638671875,0
layer_10,0.48007647705078127,0,1170,9.9638671875,0
layer_10_mid_position_embedding, 0.029322816848754884,0,0,9.9638671875,0
layer_10_add_mid_position_embedding, 0.0010032960176467895,0,1170,9.9638671875,0
layer_11,0.4800745849609375,0,1110,9.9638671875,0
Layer_Norm, 0.0013140480518341064,0,0,9.9638671875,0
Class_Labels_Classifier, 0.002053152084350586,0,0,0.03509521484375,0
Box_Predictor, 0.0020175039768218993,0,0,0.00152587890625,0
output,0,0,0,0,0
