layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.057990142822265625,0,63.2894140625,9.9638671875,0
Interpolation, 0.3490386657714844,0,356.6064453125,109.6025390625,0
layer_0, 0.4794063720703125,0,1809.0380859375,9.9638671875,0
layer_0_add_mid_position_embedding, 0.0010118080377578735,0,0,9.9638671875,0
layer_1, 0.4814386596679687,0,1147.0380859375,9.9638671875,0
layer_1_add_mid_position_embedding, 0.0010768320560455322,0,0,9.9638671875,0
layer_2, 0.4844162292480469,0,1157.0380859375,9.9638671875,0
layer_2_add_mid_position_embedding, 0.0013023040294647217,0,0,9.9638671875,0
layer_3, 0.48043887329101564,0,1167.0380859375,9.9638671875,0
layer_3_add_mid_position_embedding, 0.00102675199508667,0,0,9.9638671875,0
layer_4, 0.479447998046875,0,1167.0380859375,9.9638671875,0
layer_4_add_mid_position_embedding, 0.0009990079998970032,0,0,9.9638671875,0
layer_5, 0.48048980712890627,0,1157.0380859375,9.9638671875,0
layer_5_add_mid_position_embedding, 0.001159999966621399,0,0,9.9638671875,0
layer_6, 0.4817693786621094,0,1217.0380859375,9.9638671875,0
layer_6_add_mid_position_embedding, 0.0009997119903564452,0,0,9.9638671875,0
layer_7, 0.4789617919921875,0,1157.0380859375,9.9638671875,0
layer_7_add_mid_position_embedding, 0.0009984959959983826,0,0,9.9638671875,0
layer_8, 0.4797588195800781,0,1207.0380859375,9.9638671875,0
layer_8_add_mid_position_embedding, 0.0009937919974327086,0,0,9.9638671875,0
layer_9, 0.47924713134765623,0,1137.0380859375,9.9638671875,0
layer_9_add_mid_position_embedding, 0.0010010240077972412,0,0,9.9638671875,0
layer_10, 0.4820302734375,0,1197.0380859375,9.9638671875,0
layer_10_add_mid_position_embedding, 0.0009859840273857116,0,0,9.9638671875,0
layer_11, 0.47819580078125,0,1137.0380859375,9.9638671875,0
Layer_Norm, 0.0015803840160369873,0,0,9.9638671875,0
Class_Labels_Classifier, 0.002040895938873291,0,4.7757415771484375,0.03509521484375,0
Box_Predictor, 0.0018879679441452027,0,4.5175933837890625,0.00152587890625,0
output,0,0,0,0,0
