layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.058113887786865236,0,63.2894140625,9.9638671875,0
layer_0, 0.47919036865234377,0,1809.0380859375,9.9638671875,0
layer_0_mid_position_embedding, 0.029276960372924803,0,1.1455078125,9.9638671875,0
layer_0_add_mid_position_embedding, 0.0009366719722747802,0,0,9.9638671875,0
layer_1, 0.48262930297851564,0,1147.0380859375,9.9638671875,0
layer_1_mid_position_embedding, 0.02932467269897461,0,1.1455078125,9.9638671875,0
layer_1_add_mid_position_embedding, 0.0010055999755859376,0,0,9.9638671875,0
layer_2, 0.4847056884765625,0,1157.0380859375,9.9638671875,0
layer_2_mid_position_embedding, 0.02936460876464844,0,1.1455078125,9.9638671875,0
layer_2_add_mid_position_embedding, 0.0010945600271224975,0,0,9.9638671875,0
layer_3, 0.48093075561523435,0,1167.0380859375,9.9638671875,0
layer_3_mid_position_embedding, 0.029273088455200196,0,1.1455078125,9.9638671875,0
layer_3_add_mid_position_embedding, 0.0009695039987564087,0,0,9.9638671875,0
layer_4, 0.4793143005371094,0,1167.0380859375,9.9638671875,0
layer_4_mid_position_embedding, 0.029376800537109376,0,1.1455078125,9.9638671875,0
layer_4_add_mid_position_embedding, 0.0009344959855079651,0,0,9.9638671875,0
layer_5, 0.48084576416015623,0,1157.0380859375,9.9638671875,0
layer_5_mid_position_embedding, 0.02931475257873535,0,1.1455078125,9.9638671875,0
layer_5_add_mid_position_embedding, 0.0009628159999847412,0,0,9.9638671875,0
layer_6, 0.47960552978515625,0,1217.0380859375,9.9638671875,0
layer_6_mid_position_embedding, 0.02923744010925293,0,1.1455078125,9.9638671875,0
layer_6_add_mid_position_embedding, 0.0009035519957542419,0,0,9.9638671875,0
layer_7, 0.48088070678710937,0,1157.0380859375,9.9638671875,0
layer_7_mid_position_embedding, 0.029238208770751953,0,1.1455078125,9.9638671875,0
layer_7_add_mid_position_embedding, 0.0009598079919815064,0,0,9.9638671875,0
layer_8, 0.4794049987792969,0,1207.0380859375,9.9638671875,0
layer_8_mid_position_embedding, 0.02928281593322754,0,1.1455078125,9.9638671875,0
layer_8_add_mid_position_embedding, 0.0009316480159759521,0,0,9.9638671875,0
layer_9, 0.4834158630371094,0,1137.0380859375,9.9638671875,0
layer_9_mid_position_embedding, 0.02976486396789551,0,1.1455078125,9.9638671875,0
layer_9_add_mid_position_embedding, 0.0009581440091133117,0,0,9.9638671875,0
layer_10, 0.4804454040527344,0,1197.0380859375,9.9638671875,0
layer_10_mid_position_embedding, 0.029217439651489256,0,1.1455078125,9.9638671875,0
layer_10_add_mid_position_embedding, 0.0009383040070533753,0,0,9.9638671875,0
layer_11, 0.48114743041992186,0,1137.0380859375,9.9638671875,0
Layer_Norm, 0.001336575984954834,0,0,9.9638671875,0
Class_Labels_Classifier, 0.0020567998886108396,0,4.7757415771484375,0.03509521484375,0
Box_Predictor, 0.0019375360012054443,0,4.5175933837890625,0.00152587890625,0
output,0,0,0,0,0
