layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.057939327239990235,0,48.14,9.9638671875,0
layer_0_Layer_Norm_Before, 0.0012725119590759277,0,0,9.9638671875,0
layer_0_Query, 0.017487167358398437,0, 30,9.9638671875,0
layer_0_Key, 0.01723478317260742,0,20,9.9638671875,0
layer_0_Value, 0.01747577667236328,0,0,9.9638671875,0
layer_0_mul, 0.0885692138671875,0,498,529.4861297607422,0
layer_0_div, 0.03068137550354004,0,520,529.4861297607422,0
layer_0_softmax, 0.07317584228515625,0,0,529.4861297607422,0
layer_0_dropout, 0.0004333760142326355,0,0,529.4861297607422,0
layer_0_context, 0.0714721908569336,0,20,9.9638671875,0
layer_0_Self_Attention_Output, 0.01756048011779785,0,0,9.9638671875,0
layer_0_Residual_Connection_1, 0.000982208013534546,0,0,9.9638671875,0
layer_0_Layer_Norm_After, 0.0013477120399475098,0,20,9.9638671875,0
layer_0_Intermediate_Forward, 0.0711694107055664,0,70,39.85546875,0
layer_0_Output, 0.06629017639160156,0,0,9.9638671875,0
layer_0_mid_position_embedding, 0.029360736846923828,0,0,9.9638671875,0
layer_0_add_mid_position_embedding, 0.0009400320053100586,0,0,9.9638671875,0
layer_1_Layer_Norm_Before, 0.0013121919631958008,0,0,9.9638671875,0
layer_1_Query, 0.017274560928344725,0, 0,9.9638671875,0
layer_1_Key, 0.017399999618530275,0,0,9.9638671875,0
layer_1_Value, 0.017370111465454103,0,0,9.9638671875,0
layer_1_mul, 0.08865513610839844,0,520,529.4861297607422,0
layer_1_div, 0.030673791885375976,0,520,529.4861297607422,0
layer_1_softmax, 0.07369526672363282,0,0,529.4861297607422,0
layer_1_dropout, 0.0002415360063314438,0,0,529.4861297607422,0
layer_1_context, 0.07118211364746094,0,0,9.9638671875,0
layer_1_Self_Attention_Output, 0.017290111541748046,0,0,9.9638671875,0
layer_1_Residual_Connection_1, 0.0009678400158882141,0,0,9.9638671875,0
layer_1_Layer_Norm_After, 0.0013211519718170166,0,20,9.9638671875,0
layer_1_Intermediate_Forward, 0.07106684875488281,0,70,39.85546875,0
layer_1_Output, 0.06637503814697265,0,0,9.9638671875,0
layer_1_mid_position_embedding, 0.029309024810791017,0,0,9.9638671875,0
layer_1_add_mid_position_embedding, 0.0009818239808082581,0,0,9.9638671875,0
layer_2_Layer_Norm_Before, 0.0012624319791793824,0,0,9.9638671875,0
