layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.058228225708007814,0,63.2894140625,9.9638671875,0
Interpolation, 0.3501054077148438,0,356.6064453125,109.6025390625,0
layer_0_Layer_Norm_Before, 0.0014401600360870361,0,9.9697265625,9.9638671875,0
layer_0_Query, 0.01737696075439453,0, 32.2529296875,9.9638671875,0
layer_0_Key, 0.017243999481201172,0,22.2529296875,9.9638671875,0
layer_0_Value, 0.01738822364807129,0,2.2529296875,9.9638671875,0
layer_0_mul, 0.08862060546875,0,498,529.4861297607422,0
layer_0_div, 0.030653696060180664,0,520,529.4861297607422,0
layer_0_softmax, 0.07294713592529296,0,0,529.4861297607422,0
layer_0_dropout, 0.00023686400055885316,0,0,529.4861297607422,0
layer_0_context, 0.07157872009277344,0,20,9.9638671875,0
layer_0_Self_Attention_Output, 0.01731443214416504,0,2.2529296875,9.9638671875,0
layer_0_Residual_Connection_1, 0.0009733440279960633,0,0,9.9638671875,0
layer_0_Layer_Norm_After, 0.0013185919523239136,0,20.005859375,9.9638671875,0
layer_0_Intermediate_Forward, 0.07107772827148437,0,79.01171875,39.85546875,0
layer_0_Output, 0.06567276763916016,0,9.0029296875,9.9638671875,0
layer_0_add_mid_position_embedding, 0.0010075199604034424,0,0,9.9638671875,0
layer_1_Layer_Norm_Before, 0.0012823679447174071,0,9.9697265625,9.9638671875,0
layer_1_Query, 0.01736332893371582,0, 2.2529296875,9.9638671875,0
layer_1_Key, 0.01725267219543457,0,2.2529296875,9.9638671875,0
layer_1_Value, 0.017457311630249023,0,2.2529296875,9.9638671875,0
layer_1_mul, 0.08869068908691406,0,520,529.4861297607422,0
layer_1_div, 0.03065235137939453,0,520,529.4861297607422,0
layer_1_softmax, 0.07374393463134765,0,0,529.4861297607422,0
layer_1_dropout, 0.00022601599991321563,0,0,529.4861297607422,0
layer_1_context, 0.07149788665771484,0,0,9.9638671875,0
layer_1_Self_Attention_Output, 0.017585504531860353,0,2.2529296875,9.9638671875,0
layer_1_Residual_Connection_1, 0.001054975986480713,0,0,9.9638671875,0
layer_1_Layer_Norm_After, 0.0014205440282821656,0,20.005859375,9.9638671875,0
layer_1_Intermediate_Forward, 0.07114940643310547,0,79.01171875,39.85546875,0
layer_1_Output, 0.0666720962524414,0,9.0029296875,9.9638671875,0
layer_1_add_mid_position_embedding, 0.0010473920106887817,0,0,9.9638671875,0
layer_2_Layer_Norm_Before, 0.0013150080442428588,0,9.9697265625,9.9638671875,0
layer_2_Query, 0.017411008834838867,0, 2.2529296875,9.9638671875,0
layer_2_Key, 0.01738876724243164,0,2.2529296875,9.9638671875,0
layer_2_Value, 0.017382080078125,0,2.2529296875,9.9638671875,0
layer_2_mul, 0.08865862274169922,0,520,529.4861297607422,0
layer_2_div, 0.030717023849487303,0,520,529.4861297607422,0
layer_2_softmax, 0.07857033538818359,0,0,529.4861297607422,0
layer_2_dropout, 0.00031644800305366517,0,0,529.4861297607422,0
layer_2_context, 0.07149782562255859,0,0,9.9638671875,0
layer_2_Self_Attention_Output, 0.017545984268188475,0,2.2529296875,9.9638671875,0
layer_2_Residual_Connection_1, 0.0009079359769821167,0,0,9.9638671875,0
layer_2_Layer_Norm_After, 0.0013641599416732788,0,20.005859375,9.9638671875,0
