layer_name,time,cpu_mem,cuda_mem,size,macs
input,0.0,0.0,0.0,9.76,0
Embedding, 0.05843119812011719,0,48.14,9.9638671875,0
Interpolation, 0.3524096374511719,0,218,109.6025390625,0
layer_0_Layer_Norm_Before, 0.0013193279504776002,0,0,9.9638671875,0
layer_0_Query, 0.01753209686279297,0, 30,9.9638671875,0
layer_0_Key, 0.01739888000488281,0,20,9.9638671875,0
layer_0_Value, 0.017677503585815428,0,0,9.9638671875,0
layer_0_mul, 0.08870146942138672,0,498,529.4861297607422,0
layer_0_div, 0.03067830467224121,0,520,529.4861297607422,0
layer_0_softmax, 0.07292412567138672,0,0,529.4861297607422,0
layer_0_dropout, 0.0002726080119609833,0,0,529.4861297607422,0
layer_0_context, 0.07157708740234375,0,20,9.9638671875,0
layer_0_Self_Attention_Output, 0.017755231857299804,0,0,9.9638671875,0
layer_0_Residual_Connection_1, 0.0010795520544052124,0,0,9.9638671875,0
layer_0_Layer_Norm_After, 0.0013340480327606202,0,200,9.9638671875,0
layer_0_Intermediate_Forward, 0.07142704010009765,0,800,39.85546875,0
layer_0_Output, 0.0669544677734375,0,1130,9.9638671875,0
layer_0_add_mid_position_embedding, 0.0009829440116882323,0,1782,9.9638671875,0
layer_1_Layer_Norm_Before, 0.001352671980857849,0,0,9.9638671875,0
layer_1_Query, 0.01723187255859375,0, 0,9.9638671875,0
layer_1_Key, 0.017399232864379884,0,0,9.9638671875,0
layer_1_Value, 0.01742153549194336,0,0,9.9638671875,0
layer_1_mul, 0.08861260986328125,0,520,529.4861297607422,0
layer_1_div, 0.0306146240234375,0,520,529.4861297607422,0
layer_1_softmax, 0.07290364837646485,0,0,529.4861297607422,0
layer_1_dropout, 0.00026396799087524415,0,0,529.4861297607422,0
layer_1_context, 0.07111414337158203,0,0,9.9638671875,0
layer_1_Self_Attention_Output, 0.01752412796020508,0,0,9.9638671875,0
layer_1_Residual_Connection_1, 0.0009698240160942078,0,0,9.9638671875,0
layer_1_Layer_Norm_After, 0.0012868800163269043,0,200,9.9638671875,0
layer_1_Intermediate_Forward, 0.07101481628417969,0,800,39.85546875,0
layer_1_Output, 0.06634194946289063,0,1130,9.9638671875,0
layer_1_add_mid_position_embedding, 0.0010456639528274537,0,1120,9.9638671875,0
layer_2_Layer_Norm_Before, 0.0013120959997177124,0,0,9.9638671875,0
layer_2_Query, 0.017434816360473632,0, 0,9.9638671875,0
layer_2_Key, 0.017619808197021483,0,0,9.9638671875,0
layer_2_Value, 0.01738915252685547,0,0,9.9638671875,0
layer_2_mul, 0.08864259338378906,0,520,529.4861297607422,0
layer_2_div, 0.0307346248626709,0,520,529.4861297607422,0
layer_2_softmax, 0.0728563232421875,0,0,529.4861297607422,0
layer_2_dropout, 0.0002038719952106476,0,0,529.4861297607422,0
layer_2_context, 0.07185903930664063,0,0,9.9638671875,0
layer_2_Self_Attention_Output, 0.01753254318237305,0,0,9.9638671875,0
layer_2_Residual_Connection_1, 0.000966592013835907,0,0,9.9638671875,0
layer_2_Layer_Norm_After, 0.001285856008529663,0,200,9.9638671875,0
layer_2_Intermediate_Forward, 0.07114777374267578,0,800,39.85546875,0
layer_2_Output, 0.06670345306396484,0,1130,9.9638671875,0
layer_2_add_mid_position_embedding, 0.001231295943260193,0,1130,9.9638671875,0
layer_3_Layer_Norm_Before, 0.001324031949043274,0,0,9.9638671875,0
layer_3_Query, 0.017484512329101563,0, 0,9.9638671875,0
layer_3_Key, 0.017324735641479492,0,0,9.9638671875,0
layer_3_Value, 0.01751260757446289,0,0,9.9638671875,0
layer_3_mul, 0.0887388153076172,0,520,529.4861297607422,0
layer_3_div, 0.030668352127075197,0,520,529.4861297607422,0
layer_3_softmax, 0.07281887817382812,0,0,529.4861297607422,0
layer_3_dropout, 0.00026188799738883974,0,0,529.4861297607422,0
