layername,device
input,0
Embedding,0
Interpolation,1
layer_0,0
layer_0_add_mid_position_embedding,0
layer_1,2
layer_1_add_mid_position_embedding,2
layer_2,3
layer_2_add_mid_position_embedding,3
layer_3,4
layer_3_add_mid_position_embedding,4
layer_4,5
layer_4_add_mid_position_embedding,5
layer_5,6
layer_5_add_mid_position_embedding,6
layer_6,7
layer_6_add_mid_position_embedding,7
layer_7,8
layer_7_add_mid_position_embedding,8
layer_8,9
layer_8_add_mid_position_embedding,9
layer_9,10
layer_9_add_mid_position_embedding,10
layer_10,11
layer_10_add_mid_position_embedding,11
layer_11,1
Layer_Norm,1
Class_Labels_Classifier,1
Box_Predictor,1
output,1
