layername,device
input,0
Embedding,0
layer_0_mid_position_embedding,1
layer_1_mid_position_embedding,3
layer_2_mid_position_embedding,5
layer_3_mid_position_embedding,7
layer_4_mid_position_embedding,9
layer_5_mid_position_embedding,11
layer_6_mid_position_embedding,1
layer_7_mid_position_embedding,3
layer_8_mid_position_embedding,9
layer_9_mid_position_embedding,3
layer_10_mid_position_embedding,3
layer_0,0
layer_0_add_mid_position_embedding,0
layer_1,2
layer_1_add_mid_position_embedding,2
layer_2,4
layer_2_add_mid_position_embedding,4
layer_3,6
layer_3_add_mid_position_embedding,6
layer_4,8
layer_4_add_mid_position_embedding,8
layer_5,10
layer_5_add_mid_position_embedding,10
layer_6,7
layer_6_add_mid_position_embedding,7
layer_7,11
layer_7_add_mid_position_embedding,11
layer_8,5
layer_8_add_mid_position_embedding,5
layer_9,1
layer_9_add_mid_position_embedding,1
layer_10,9
layer_10_add_mid_position_embedding,9
layer_11,3
Layer_Norm,3
Class_Labels_Classifier,3
Box_Predictor,3
output,3
