layername,device
input,0
Embedding,0
layer_0_mid_position_embedding,1
layer_1_mid_position_embedding,1
layer_2_mid_position_embedding,1
layer_3_mid_position_embedding,1
layer_4_mid_position_embedding,1
layer_5_mid_position_embedding,1
layer_6_mid_position_embedding,1
layer_7_mid_position_embedding,1
layer_8_mid_position_embedding,1
layer_9_mid_position_embedding,1
layer_10_mid_position_embedding,1
layer_0,0
layer_0_add_mid_position_embedding,0
layer_1,0
layer_1_add_mid_position_embedding,0
layer_2,0
layer_2_add_mid_position_embedding,0
layer_3,0
layer_3_add_mid_position_embedding,0
layer_4,0
layer_4_add_mid_position_embedding,0
layer_5,0
layer_5_add_mid_position_embedding,0
layer_6,0
layer_6_add_mid_position_embedding,0
layer_7,0
layer_7_add_mid_position_embedding,0
layer_8,0
layer_8_add_mid_position_embedding,0
layer_9,0
layer_9_add_mid_position_embedding,0
layer_10,0
layer_10_add_mid_position_embedding,0
layer_11,0
Layer_Norm,0
Class_Labels_Classifier,0
Box_Predictor,0
output,0
