layername,device
input,0
Embedding,0
layer_0_mid_position_embedding,1
layer_1_mid_position_embedding,2
layer_2_mid_position_embedding,4
layer_3_mid_position_embedding,1
layer_4_mid_position_embedding,2
layer_5_mid_position_embedding,1
layer_6_mid_position_embedding,2
layer_7_mid_position_embedding,1
layer_8_mid_position_embedding,1
layer_9_mid_position_embedding,1
layer_10_mid_position_embedding,1
layer_0,0
layer_0_add_mid_position_embedding,0
layer_1,0
layer_1_add_mid_position_embedding,0
layer_2,3
layer_2_add_mid_position_embedding,3
layer_3,3
layer_3_add_mid_position_embedding,3
layer_4,3
layer_4_add_mid_position_embedding,3
layer_5,4
layer_5_add_mid_position_embedding,4
layer_6,4
layer_6_add_mid_position_embedding,4
layer_7,4
layer_7_add_mid_position_embedding,4
layer_8,2
layer_8_add_mid_position_embedding,2
layer_9,2
layer_9_add_mid_position_embedding,2
layer_10,2
layer_10_add_mid_position_embedding,2
layer_11,1
Layer_Norm,1
Class_Labels_Classifier,1
Box_Predictor,1
output,1
